new data
[0, 7, 0, 1], [0, 7, 0, 1]
[13, 3, 1, 0], [13, 3, 6, 0]
[14, 3, 8, 1], [14, 3, 6, 1]
[15, 2, 2, 1], [15, 2, 7, 1]
[16, 1, 9, 1], [16, 1, 8, 1]
[17, 3, 10, 1], [17, 1, 9, 1]
[18, 7, 11, 1], [18, 7, 10, 1]
new data
[0, 22, 0, 1], [0, 0, 0, 1]
[1, 15, 1, 1], [1, 0, 1, 1]
[2, 22, 2, 1], [2, 0, 2, 1]
[3, 5, 3, 1], [3, 5, 3, 1]
[4, 4, 4, 1], [4, 8, 4, 1]
[5, 5, 3, 1], [5, 3, 5, 1]
[6, 9, 5, 1], [6, 5, 6, 1]
[7, 11, 6, 1], [7, 4, 7, 1]
[8, 4, 7, 1], [8, 7, 8, 1]
[9, 4, 8, 1], [9, 0, 9, 1]
[10, 2, 9, 1], [10, 2, 10, 1]
[11, 1, 10, 1], [11, 1, 11, 1]
[12, 12, 11, 1], [12, 0, 12, 1]
[13, 4, 12, 1], [13, 0, 13, 1]
[14, 2, 13, 1], [14, 2, 14, 1]
[15, 1, 14, 1], [15, 1, 15, 1]
[16, 0, 15, 1], [16, 0, 16, 1]
[17, 9, 16, 1], [17, 9, 17, 1]
[18, 3, 17, 1], [18, 2, 18, 1]
[19, 9, 18, 1], [19, 2, 19, 1]
[20, 3, 19, 1], [20, 0, 20, 1]
[21, 7, 20, 1], [21, 0, 21, 1]
[22, 4, 21, 1], [22, 0, 22, 1]
new data
[0, 1, 0, 1], [0, 1, 0, 1]
[1, 2, 1, 1], [1, 2, 1, 1]
[2, 3, 2, 1], [2, 16, 2, 1]
[3, 11, 3, 0], [3, 4, 2, 0]
[4, 9, 4, 1], [4, 3, 3, 1]
[5, 3, 5, 0], [5, 3, 3, 0]
[6, 7, 6, 0], [6, 3, 4, 0]
[7, 7, 7, 1], [7, 3, 4, 1]
[8, 9, 8, 0], [8, 3, 4, 0]
[9, 4, 9, 1], [9, 4, 5, 1]
[10, 4, 10, 0], [10, 4, 6, 0]
[11, 4, 10, 0], [11, 4, 6, 0]
[12, 4, 11, 1], [12, 8, 6, 1]
[13, 9, 12, 1], [13, 13, 7, 1]
[14, 9, 12, 0], [14, 13, 7, 0]
[15, 3, 13, 1], [15, 16, 8, 1]
[16, 6, 14, 1], [16, 6, 9, 1]
new data
[0, 3, 0, 1], [0, 8, 0, 1]
[1, 10, 1, 1], [1, 3, 1, 1]
[2, 10, 2, 1], [2, 5, 2, 1]
[3, 4, 3, 1], [3, 4, 3, 1]
[4, 3, 4, 0], [4, 3, 4, 0]
[5, 3, 5, 1], [5, 3, 4, 1]
[6, 2, 6, 1], [6, 2, 5, 1]
[7, 1, 7, 1], [7, 1, 6, 1]
[8, 1, 8, 0], [8, 1, 6, 0]
[9, 3, 9, 1], [9, 14, 7, 1]
[10, 8, 10, 0], [10, 2, 8, 0]
[11, 2, 6, 1], [11, 2, 8, 1]
[12, 1, 11, 1], [12, 1, 9, 1]
[13, 0, 12, 1], [13, 0, 10, 1]
[14, 8, 13, 1], [14, 7, 11, 1]
[15, 2, 14, 1], [15, 2, 12, 1]
[16, 7, 15, 1], [16, 6, 13, 1]
[17, 6, 16, 1], [17, 6, 14, 1]
new data
[0, 1, 0, 1], [0, 1, 0, 1]
[1, 6, 1, 1], [1, 6, 1, 1]
[2, 10, 2, 0], [2, 22, 2, 0]
[3, 10, 2, 0], [3, 22, 2, 0]
[4, 10, 2, 1], [4, 22, 2, 1]
[5, 5, 3, 1], [5, 8, 3, 1]
[6, 1, 4, 1], [6, 1, 4, 1]
[7, 5, 5, 1], [7, 5, 5, 1]
[8, 5, 5, 1], [8, 3, 6, 1]
[9, 8, 6, 1], [9, 2, 7, 1]
[10, 1, 7, 1], [10, 1, 8, 1]
[11, 8, 8, 1], [11, 2, 9, 1]
[12, 0, 9, 1], [12, 0, 10, 1]
[13, 9, 10, 1], [13, 22, 11, 1]
[14, 9, 11, 1], [14, 8, 12, 1]
[15, 1, 12, 1], [15, 1, 13, 1]
new data
[0, 2, 0, 1], [0, 2, 0, 1]
[1, 2, 0, 0], [1, 2, 0, 0]
[2, 10, 1, 0], [2, 5, 1, 0]
[3, 5, 2, 1], [3, 5, 1, 1]
[4, 3, 3, 0], [4, 8, 2, 0]
[5, 9, 4, 1], [5, 8, 2, 1]
[6, 7, 5, 0], [6, 8, 2, 0]
[7, 4, 6, 1], [7, 4, 3, 1]
[8, 3, 7, 1], [8, 3, 4, 1]
[9, 3, 8, 0], [9, 3, 4, 0]
[10, 8, 9, 1], [10, 8, 5, 1]
[11, 2, 10, 0], [11, 2, 6, 0]
[12, 2, 10, 0], [12, 2, 6, 0]
[13, 2, 10, 1], [13, 2, 6, 1]
[14, 6, 11, 1], [14, 6, 7, 1]
[15, 6, 12, 0], [15, 6, 7, 0]
[16, 5, 13, 1], [16, 0, 8, 1]
[17, 2, 14, 1], [17, 0, 9, 1]
[18, 2, 10, 1], [18, 0, 10, 1]
[19, 1, 15, 1], [19, 1, 11, 1]
[20, 2, 14, 1], [20, 2, 12, 1]
[21, 2, 14, 0], [21, 2, 12, 0]
[22, 1, 16, 1], [22, 1, 13, 1]
new data
[0, 1, 0, 1], [0, 1, 0, 1]
[1, 2, 1, 0], [1, 2, 1, 0]
[2, 2, 1, 1], [2, 2, 1, 1]
[3, 2, 2, 1], [3, 2, 2, 1]
[4, 3, 3, 1], [4, 0, 3, 1]
[5, 2, 2, 1], [5, 2, 4, 1]
[6, 1, 4, 1], [6, 1, 5, 1]
[7, 6, 5, 1], [7, 6, 6, 1]
[8, 2, 2, 1], [8, 2, 7, 1]
[9, 7, 6, 1], [9, 7, 8, 1]
[10, 14, 7, 1], [10, 16, 9, 1]
[11, 22, 8, 1], [11, 5, 10, 1]
[12, 8, 9, 1], [12, 8, 11, 1]
[13, 3, 10, 1], [13, 10, 12, 1]
[14, 3, 11, 0], [14, 3, 13, 0]
[15, 3, 11, 1], [15, 3, 13, 1]
[16, 11, 12, 0], [16, 4, 14, 0]
[17, 11, 13, 1], [17, 4, 14, 1]
[18, 3, 14, 0], [18, 8, 15, 0]
[19, 4, 15, 0], [19, 10, 15, 0]
[20, 4, 15, 1], [20, 10, 15, 1]
[21, 8, 16, 1], [21, 8, 16, 1]
[22, 1, 17, 1], [22, 1, 17, 1]
new data
[0, 5, 0, 1], [0, 3, 0, 1]
[1, 4, 1, 1], [1, 4, 1, 1]
[2, 3, 2, 0], [2, 5, 2, 0]
[3, 3, 2, 1], [3, 5, 2, 1]
[4, 8, 3, 1], [4, 8, 3, 1]
[5, 10, 4, 1], [5, 5, 4, 1]
[6, 8, 5, 1], [6, 8, 5, 1]
[7, 3, 6, 1], [7, 10, 6, 1]
[8, 11, 7, 0], [8, 4, 7, 0]
[9, 5, 8, 1], [9, 3, 7, 1]
[10, 4, 9, 1], [10, 8, 8, 1]
[11, 5, 10, 1], [11, 2, 9, 1]
[12, 1, 11, 1], [12, 1, 10, 1]
[13, 4, 12, 1], [13, 1, 11, 1]
[14, 5, 13, 1], [14, 2, 12, 1]
[15, 3, 14, 0], [15, 2, 13, 0]
[16, 3, 14, 1], [16, 2, 13, 1]
[17, 7, 15, 1], [17, 7, 14, 1]
[18, 5, 10, 1], [18, 2, 15, 1]
[19, 1, 16, 1], [19, 1, 16, 1]
new data
[0, 1, 0, 1], [0, 1, 0, 1]
[1, 0, 1, 0], [1, 0, 1, 0]
[2, 3, 2, 1], [2, 0, 1, 1]
[3, 7, 3, 1], [3, 0, 2, 1]
[4, 3, 4, 0], [4, 2, 3, 0]
[5, 2, 5, 1], [5, 2, 3, 1]
[6, 22, 6, 0], [6, 2, 3, 0]
[7, 22, 6, 0], [7, 2, 3, 0]
[8, 14, 7, 1], [8, 19, 4, 1]
[9, 3, 8, 0], [9, 0, 5, 0]
[10, 11, 9, 0], [10, 3, 5, 0]
[11, 11, 9, 1], [11, 3, 5, 1]
[12, 4, 10, 0], [12, 4, 5, 0]
[13, 3, 11, 0], [13, 3, 5, 0]
[14, 11, 9, 1], [14, 8, 6, 1]
new data
[0, 6, 0, 1], [0, 6, 0, 1]
[1, 22, 1, 1], [1, 12, 1, 1]
[2, 3, 2, 1], [2, 15, 2, 1]
[3, 1, 3, 1], [3, 1, 3, 1]
[4, 14, 4, 1], [4, 16, 4, 1]
[5, 8, 5, 1], [5, 4, 5, 1]
[6, 11, 6, 1], [6, 3, 6, 1]
[7, 4, 7, 1], [7, 4, 7, 1]
[8, 9, 8, 1], [8, 3, 8, 1]
[9, 9, 9, 1], [9, 0, 9, 1]
[10, 1, 10, 1], [10, 0, 10, 1]
[11, 9, 11, 1], [11, 2, 11, 1]
[12, 1, 12, 1], [12, 1, 12, 1]
[13, 1, 13, 1], [13, 1, 13, 1]
[14, 4, 14, 1], [14, 7, 14, 1]
[15, 0, 15, 1], [15, 0, 15, 1]
[16, 2, 16, 1], [16, 2, 16, 1]
[17, 9, 17, 1], [17, 8, 17, 1]
[18, 9, 18, 1], [18, 9, 18, 1]
[19, 9, 19, 1], [19, 16, 19, 1]
[20, 8, 20, 1], [20, 16, 20, 1]
new data
[0, 11, 0, 1], [0, 4, 0, 1]
[1, 3, 1, 1], [1, 3, 1, 1]
[2, 11, 0, 1], [2, 5, 2, 1]
[3, 1, 2, 1], [3, 1, 3, 1]
[4, 9, 3, 1], [4, 8, 4, 1]
[5, 2, 4, 1], [5, 2, 5, 1]
[6, 10, 5, 1], [6, 2, 6, 1]
[7, 0, 6, 1], [7, 0, 7, 1]
[8, 1, 7, 1], [8, 0, 8, 1]
[9, 1, 8, 1], [9, 1, 9, 1]
[10, 2, 9, 1], [10, 0, 10, 1]
[11, 2, 4, 1], [11, 2, 11, 1]
[12, 3, 10, 1], [12, 0, 12, 1]
[13, 4, 11, 1], [13, 22, 13, 1]
[14, 4, 11, 1], [14, 10, 14, 1]
[15, 4, 11, 1], [15, 9, 15, 1]
[16, 11, 12, 1], [16, 7, 16, 1]
[17, 7, 13, 1], [17, 6, 17, 1]
[18, 1, 14, 1], [18, 1, 18, 1]
new data
[0, 11, 0, 1], [0, 11, 0, 1]
[1, 8, 1, 1], [1, 8, 1, 1]
[2, 5, 2, 1], [2, 3, 2, 1]
[3, 5, 2, 0], [3, 3, 2, 0]
[4, 4, 3, 1], [4, 4, 3, 1]
[5, 5, 4, 1], [5, 5, 4, 1]
[6, 22, 5, 0], [6, 3, 5, 0]
[7, 5, 6, 0], [7, 8, 5, 0]
[8, 22, 5, 1], [8, 3, 5, 1]
[9, 3, 7, 0], [9, 10, 6, 0]
[10, 5, 8, 1], [10, 10, 6, 1]
[11, 3, 9, 1], [11, 14, 7, 1]
[12, 3, 10, 1], [12, 2, 8, 1]
[13, 3, 11, 0], [13, 2, 9, 0]
[14, 3, 12, 1], [14, 2, 9, 1]
[15, 3, 12, 1], [15, 2, 10, 1]
[16, 10, 13, 1], [16, 6, 11, 1]
[17, 1, 14, 1], [17, 1, 12, 1]
[18, 0, 15, 1], [18, 0, 13, 1]
[19, 1, 16, 1], [19, 1, 14, 1]
new data
[0, 22, 0, 1], [0, 2, 0, 1]
[1, 22, 0, 0], [1, 2, 0, 0]
[2, 11, 1, 0], [2, 4, 1, 0]
[3, 3, 2, 0], [3, 5, 1, 0]
[4, 11, 1, 1], [4, 4, 1, 1]
[5, 3, 2, 0], [5, 5, 1, 0]
[6, 3, 3, 1], [6, 8, 2, 1]
[7, 8, 4, 0], [7, 8, 2, 0]
[8, 3, 5, 0], [8, 8, 3, 0]
[9, 5, 6, 0], [9, 3, 3, 0]
[10, 3, 7, 0], [10, 3, 3, 0]
[11, 3, 8, 1], [11, 3, 3, 1]
[12, 0, 9, 0], [12, 8, 4, 0]
[13, 3, 10, 1], [13, 8, 4, 1]
[14, 1, 11, 1], [14, 1, 5, 1]
[15, 1, 12, 0], [15, 1, 5, 0]
[16, 729, 13, 1], [16, 0, 6, 1]
[17, 2, 14, 0], [17, 2, 7, 0]
[18, 22, 15, 0], [18, 2, 7, 0]
[19, 2, 14, 1], [19, 2, 7, 1]
[20, 1, 16, 1], [20, 0, 8, 1]
[21, 1, 17, 1], [21, 0, 9, 1]
[22, 2, 18, 0], [22, 2, 10, 0]
[23, 2, 18, 1], [23, 2, 10, 1]
new data
[0, 6, 0, 1], [0, 6, 0, 1]
[1, 12, 1, 1], [1, 12, 1, 1]
[2, 0, 2, 1], [2, 0, 2, 1]
[3, 2, 3, 1], [3, 2, 3, 1]
[4, 7, 4, 1], [4, 7, 4, 1]
[5, 9, 5, 1], [5, 2, 5, 1]
[6, 0, 6, 1], [6, 0, 6, 1]
[7, 0, 7, 1], [7, 0, 7, 1]
[8, 3, 8, 1], [8, 3, 8, 1]
[9, 10, 9, 1], [9, 8, 9, 1]
[10, 3, 10, 1], [10, 10, 10, 1]
[11, 4, 11, 1], [11, 8, 11, 1]
[12, 10, 12, 1], [12, 3, 12, 1]
[13, 10, 12, 1], [13, 5, 13, 1]
[14, 10, 13, 1], [14, 4, 14, 1]
[15, 1, 14, 1], [15, 1, 15, 1]
[16, 2, 15, 1], [16, 0, 16, 1]
[17, 0, 16, 1], [17, 0, 17, 1]
[18, 3, 17, 1], [18, 2, 18, 1]
[19, 2, 3, 1], [19, 2, 19, 1]
[20, 1, 18, 1], [20, 1, 20, 1]
[21, 2, 3, 1], [21, 2, 21, 1]
new data
[0, 3, 0, 1], [0, 5, 0, 1]
[1, 4, 1, 0], [1, 4, 0, 0]
[2, 4, 2, 0], [2, 4, 0, 0]
[3, 8, 3, 1], [3, 8, 1, 1]
[4, 8, 4, 0], [4, 8, 1, 0]
[5, 11, 5, 0], [5, 5, 2, 0]
[6, 10, 6, 1], [6, 3, 2, 1]
[7, 10, 7, 0], [7, 3, 2, 0]
[8, 10, 7, 0], [8, 3, 2, 0]
[9, 2, 8, 0], [9, 2, 3, 0]
[10, 3, 9, 1], [10, 2, 3, 1]
[11, 1, 10, 1], [11, 0, 4, 1]
[12, 1, 11, 0], [12, 7, 5, 0]
[13, 7, 12, 1], [13, 7, 5, 1]
[14, 0, 13, 1], [14, 0, 6, 1]
[15, 0, 14, 1], [15, 0, 7, 1]
[16, 1, 15, 1], [16, 1, 8, 1]
[17, 1, 16, 1], [17, 2, 9, 1]
[18, 3, 17, 0], [18, 2, 9, 0]
[19, 1, 18, 1], [19, 1, 10, 1]
