
new data
train
0212: pos_pair = 29, neg_pair = 1147
0172: pos_pair = 78, neg_pair = 868
1455: pos_pair = 45, neg_pair = 1281
0724: pos_pair = 55, neg_pair = 1121
1315: pos_pair = 32, neg_pair = 199
0026: pos_pair = 35, neg_pair = 631
1090: pos_pair = 59, neg_pair = 3101
1053: pos_pair = 19, neg_pair = 477
0689: pos_pair = 83, neg_pair = 2332
1006: pos_pair = 27, neg_pair = 876
1195: pos_pair = 87, neg_pair = 2994
0341: pos_pair = 19, neg_pair = 576
1332: pos_pair = 48, neg_pair = 942
1092: pos_pair = 22, neg_pair = 798
0976: pos_pair = 44, neg_pair = 586
0529: pos_pair = 45, neg_pair = 2035
0904: pos_pair = 40, neg_pair = 1235
1074: pos_pair = 98, neg_pair = 2248
0176: pos_pair = 20, neg_pair = 760
1149: pos_pair = 15, neg_pair = 336
[0, 0, 1, 2, 3, 4, 5, 6, 6, 6, 7, 8, 9, 10, 11, 11, 12, 12, 7, 1, 9, 4, 3, 5, 10, 8, 2]
1120: pos_pair = 95, neg_pair = 3226
1533: pos_pair = 17, neg_pair = 448
0411: pos_pair = 122, neg_pair = 2089
0217: pos_pair = 22, neg_pair = 924
0362: pos_pair = 45, neg_pair = 1971
0260: pos_pair = 38, neg_pair = 1447
0205: pos_pair = 19, neg_pair = 477
1499: pos_pair = 27, neg_pair = 1404
1552: pos_pair = 45, neg_pair = 1281
1318: pos_pair = 91, neg_pair = 1925
0933: pos_pair = 68, neg_pair = 2077
1373: pos_pair = 16, neg_pair = 480
0789: pos_pair = 84, neg_pair = 2766
1046: pos_pair = 50, neg_pair = 1661
0315: pos_pair = 51, neg_pair = 2577
0561: pos_pair = 111, neg_pair = 2590
0782: pos_pair = 52, neg_pair = 2504
0911: pos_pair = 59, neg_pair = 1022
0169: pos_pair = 31, neg_pair = 789
0089: pos_pair = 48, neg_pair = 1278
1433: pos_pair = 38, neg_pair = 952
0927: pos_pair = 84, neg_pair = 997
0446: pos_pair = 63, neg_pair = 678
0784: pos_pair = 49, neg_pair = 1491
0978: pos_pair = 54, neg_pair = 2721
0803: pos_pair = 75, neg_pair = 2481
0515: pos_pair = 26, neg_pair = 1009
0088: pos_pair = 73, neg_pair = 1152
0641: pos_pair = 34, neg_pair = 1397
0269: pos_pair = 65, neg_pair = 2420
0237: pos_pair = 25, neg_pair = 795
1304: pos_pair = 40, neg_pair = 1500
1465: pos_pair = 108, neg_pair = 2667
1460: pos_pair = 29, neg_pair = 499
1377: pos_pair = 31, neg_pair = 1347
0662: pos_pair = 35, neg_pair = 1450
1430: pos_pair = 81, neg_pair = 3322
0972: pos_pair = 27, neg_pair = 963
0686: pos_pair = 44, neg_pair = 1609
0802: pos_pair = 54, neg_pair = 1272
1414: pos_pair = 16, neg_pair = 480
0617: pos_pair = 55, neg_pair = 1170
0550: pos_pair = 15, neg_pair = 261
[0, 0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 7, 8, 9, 10, 1, 10, 5, 2, 9, 8]
0077: pos_pair = 76, neg_pair = 1005
1188: pos_pair = 57, neg_pair = 1168
0040: pos_pair = 35, neg_pair = 1981
0584: pos_pair = 39, neg_pair = 1731
1353: pos_pair = 48, neg_pair = 987
1164: pos_pair = 17, neg_pair = 308
0112: pos_pair = 26, neg_pair = 604
1186: pos_pair = 63, neg_pair = 1477
1346: pos_pair = 32, neg_pair = 1294
0114: pos_pair = 31, neg_pair = 872
0511: pos_pair = 49, neg_pair = 1781
0407: pos_pair = 26, neg_pair = 1300
1171: pos_pair = 39, neg_pair = 1042
0194: pos_pair = 17, neg_pair = 448
0017: pos_pair = 50, neg_pair = 1328
1570: pos_pair = 27, neg_pair = 534
0609: pos_pair = 62, neg_pair = 1954
1358: pos_pair = 110, neg_pair = 1268
0796: pos_pair = 20, neg_pair = 646
0060: pos_pair = 77, neg_pair = 913
1223: pos_pair = 28, neg_pair = 378
0768: pos_pair = 43, neg_pair = 552
0574: pos_pair = 38, neg_pair = 665
0536: pos_pair = 25, neg_pair = 678
1344: pos_pair = 83, neg_pair = 3157
0566: pos_pair = 26, neg_pair = 877
0135: pos_pair = 16, neg_pair = 480
0455: pos_pair = 48, neg_pair = 2508
1454: pos_pair = 75, neg_pair = 2271
0465: pos_pair = 26, neg_pair = 1300
1380: pos_pair = 32, neg_pair = 1193
1495: pos_pair = 252, neg_pair = 1023
1426: pos_pair = 41, neg_pair = 1612
1011: pos_pair = 17, neg_pair = 448
1060: pos_pair = 48, neg_pair = 1128
1370: pos_pair = 28, neg_pair = 1053
1093: pos_pair = 18, neg_pair = 612
0671: pos_pair = 32, neg_pair = 1294
1444: pos_pair = 64, neg_pair = 882
0167: pos_pair = 54, neg_pair = 1962
0404: pos_pair = 43, neg_pair = 1283
0764: pos_pair = 22, neg_pair = 681
0030: pos_pair = 39, neg_pair = 1446
1395: pos_pair = 8, neg_pair = 112
[0, 1, 2, 2, 3, 4, 5, 5, 6, 6, 7, 7, 1, 4, 3, 0]
1394: pos_pair = 16, neg_pair = 480
1172: pos_pair = 14, neg_pair = 364
[0, 1, 2, 2, 3, 4, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 13, 5, 8, 7, 3, 12, 9, 10, 0, 11, 1, 6]
0747: pos_pair = 112, neg_pair = 1968
0082: pos_pair = 118, neg_pair = 1898
0965: pos_pair = 77, neg_pair = 913
0707: pos_pair = 64, neg_pair = 2492
0029: pos_pair = 34, neg_pair = 1001
0047: pos_pair = 20, neg_pair = 541
0117: pos_pair = 67, neg_pair = 1703
1563: pos_pair = 33, neg_pair = 463
0852: pos_pair = 60, neg_pair = 1371
1108: pos_pair = 83, neg_pair = 1243
0376: pos_pair = 54, neg_pair = 1122
0287: pos_pair = 32, neg_pair = 374
0811: pos_pair = 40, neg_pair = 1338
1086: pos_pair = 55, neg_pair = 2430
1191: pos_pair = 56, neg_pair = 1835
1357: pos_pair = 61, neg_pair = 719
1256: pos_pair = 20, neg_pair = 760
0314: pos_pair = 13, neg_pair = 312
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 10, 11, 11, 12, 4, 2, 9, 8, 7, 5, 1, 3, 6, 0, 12]
0321: pos_pair = 89, neg_pair = 1864
1341: pos_pair = 21, neg_pair = 840
0215: pos_pair = 26, neg_pair = 569
0206: pos_pair = 72, neg_pair = 2484
1255: pos_pair = 46, neg_pair = 944
0470: pos_pair = 33, neg_pair = 1293
0250: pos_pair = 39, neg_pair = 2736
0736: pos_pair = 66, neg_pair = 1419
1208: pos_pair = 47, neg_pair = 1331
0384: pos_pair = 43, neg_pair = 363
0415: pos_pair = 74, neg_pair = 3412
0817: pos_pair = 18, neg_pair = 612
0013: pos_pair = 26, neg_pair = 569
0501: pos_pair = 18, neg_pair = 510
0497: pos_pair = 33, neg_pair = 1095
1263: pos_pair = 22, neg_pair = 924
0988: pos_pair = 60, neg_pair = 1425
1559: pos_pair = 55, neg_pair = 1121
1002: pos_pair = 52, neg_pair = 2294
0418: pos_pair = 130, neg_pair = 2645
1462: pos_pair = 59, neg_pair = 1894
0787: pos_pair = 56, neg_pair = 2024
1017: pos_pair = 25, neg_pair = 605
0170: pos_pair = 38, neg_pair = 1447
0926: pos_pair = 22, neg_pair = 681
0962: pos_pair = 27, neg_pair = 1008
0045: pos_pair = 31, neg_pair = 959
1022: pos_pair = 33, neg_pair = 1002
0775: pos_pair = 36, neg_pair = 630
0797: pos_pair = 27, neg_pair = 351
1277: pos_pair = 54, neg_pair = 2872
0553: pos_pair = 41, neg_pair = 1184
1051: pos_pair = 31, neg_pair = 1347
0361: pos_pair = 67, neg_pair = 1644
1303: pos_pair = 49, neg_pair = 1226
1146: pos_pair = 140, neg_pair = 806
1438: pos_pair = 34, neg_pair = 869
0909: pos_pair = 54, neg_pair = 849
0951: pos_pair = 16, neg_pair = 390
0330: pos_pair = 37, neg_pair = 1139
0367: pos_pair = 60, neg_pair = 1371
0708: pos_pair = 15, neg_pair = 420
[0, 0, 1, 1, 2, 2, 3, 4, 5, 5, 6, 7, 7, 8, 9, 9, 10, 10, 11, 12, 13, 14, 14, 11, 3, 8, 6, 13, 12, 4]
1194: pos_pair = 64, neg_pair = 1952
0378: pos_pair = 25, neg_pair = 795
1308: pos_pair = 45, neg_pair = 231
0067: pos_pair = 23, neg_pair = 880
0351: pos_pair = 65, neg_pair = 755
0044: pos_pair = 36, neg_pair = 1045
0578: pos_pair = 23, neg_pair = 572
0471: pos_pair = 37, neg_pair = 1503
1536: pos_pair = 52, neg_pair = 1223
1193: pos_pair = 84, neg_pair = 819
1222: pos_pair = 71, neg_pair = 1699
0223: pos_pair = 94, neg_pair = 2534
0327: pos_pair = 64, neg_pair = 1421
1216: pos_pair = 45, neg_pair = 945
0600: pos_pair = 51, neg_pair = 984
0035: pos_pair = 90, neg_pair = 2760
1313: pos_pair = 21, neg_pair = 720
1527: pos_pair = 70, neg_pair = 2705
0840: pos_pair = 52, neg_pair = 2433
0232: pos_pair = 18, neg_pair = 612
1033: pos_pair = 49, neg_pair = 3437
1300: pos_pair = 68, neg_pair = 2417
1493: pos_pair = 78, neg_pair = 2478
0906: pos_pair = 99, neg_pair = 2827
1187: pos_pair = 80, neg_pair = 3241
0948: pos_pair = 58, neg_pair = 1070
0543: pos_pair = 46, neg_pair = 3870
0388: pos_pair = 11, neg_pair = 220
[0, 1, 2, 2, 3, 3, 4, 4, 5, 6, 7, 8, 8, 9, 10, 0, 9, 10, 6, 5, 7, 1]
0448: pos_pair = 245, neg_pair = 1133
1266: pos_pair = 26, neg_pair = 877
0359: pos_pair = 23, neg_pair = 757
0505: pos_pair = 68, neg_pair = 673
0851: pos_pair = 33, neg_pair = 913
1387: pos_pair = 32, neg_pair = 598
1354: pos_pair = 58, neg_pair = 2357
1232: pos_pair = 35, neg_pair = 1190
0355: pos_pair = 59, neg_pair = 1319
1162: pos_pair = 24, neg_pair = 1104
1307: pos_pair = 69, neg_pair = 2934
1352: pos_pair = 27, neg_pair = 1101
1258: pos_pair = 26, neg_pair = 409
0084: pos_pair = 51, neg_pair = 1602
0111: pos_pair = 27, neg_pair = 1101
1110: pos_pair = 84, neg_pair = 2691
0239: pos_pair = 16, neg_pair = 309
0683: pos_pair = 63, neg_pair = 927
0628: pos_pair = 86, neg_pair = 2329
1543: pos_pair = 48, neg_pair = 1128
0252: pos_pair = 25, neg_pair = 678
0469: pos_pair = 37, neg_pair = 998
1024: pos_pair = 481, neg_pair = 647
0946: pos_pair = 23, neg_pair = 1012
1007: pos_pair = 78, neg_pair = 450
0265: pos_pair = 44, neg_pair = 1972
0750: pos_pair = 24, neg_pair = 756
0669: pos_pair = 88, neg_pair = 815
1015: pos_pair = 51, neg_pair = 2875
1422: pos_pair = 19, neg_pair = 684
0725: pos_pair = 14, neg_pair = 217
[0, 1, 1, 2, 2, 3, 4, 4, 5, 6, 6, 6, 7, 7, 7, 8, 9, 9, 8, 3, 0, 5]
0240: pos_pair = 118, neg_pair = 2367
1059: pos_pair = 50, neg_pair = 1381
0657: pos_pair = 40, neg_pair = 950
0823: pos_pair = 32, neg_pair = 1193
0150: pos_pair = 65, neg_pair = 1160
1114: pos_pair = 27, neg_pair = 639
0974: pos_pair = 14, neg_pair = 286
[0, 0, 1, 2, 2, 3, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 10, 11, 10, 3, 4, 11, 5, 1]
1514: pos_pair = 74, neg_pair = 1879
0202: pos_pair = 47, neg_pair = 2231
1408: pos_pair = 22, neg_pair = 924
0105: pos_pair = 70, neg_pair = 2208
0309: pos_pair = 36, neg_pair = 744
1320: pos_pair = 20, neg_pair = 760
0249: pos_pair = 25, neg_pair = 1200
1034: pos_pair = 114, neg_pair = 2889
0936: pos_pair = 28, neg_pair = 1053
0484: pos_pair = 96, neg_pair = 807
0930: pos_pair = 37, neg_pair = 2664
0268: pos_pair = 40, neg_pair = 821
0216: pos_pair = 27, neg_pair = 501
0626: pos_pair = 12, neg_pair = 264
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 7, 10, 1, 3, 6, 0, 2, 8, 5, 4, 9, 11]
1360: pos_pair = 44, neg_pair = 1726
0860: pos_pair = 46, neg_pair = 900
1482: pos_pair = 76, neg_pair = 1302
1182: pos_pair = 27, neg_pair = 534
0794: pos_pair = 41, neg_pair = 2039
1211: pos_pair = 35, neg_pair = 631
0452: pos_pair = 148, neg_pair = 842
0830: pos_pair = 35, neg_pair = 1046
0289: pos_pair = 53, neg_pair = 982
1152: pos_pair = 37, neg_pair = 1091
0437: pos_pair = 42, neg_pair = 778
0834: pos_pair = 21, neg_pair = 609
0640: pos_pair = 66, neg_pair = 1312
1165: pos_pair = 103, neg_pair = 1437
0847: pos_pair = 27, neg_pair = 1404
0818: pos_pair = 31, neg_pair = 1860
1112: pos_pair = 52, neg_pair = 1601
0155: pos_pair = 33, neg_pair = 1563
0748: pos_pair = 15, neg_pair = 420
[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 12, 1, 7, 8, 4, 5, 3, 6, 13, 11, 10, 9, 14, 2]
0735: pos_pair = 57, neg_pair = 1773
0932: pos_pair = 44, neg_pair = 902
1163: pos_pair = 17, neg_pair = 544
0907: pos_pair = 27, neg_pair = 1404
0729: pos_pair = 29, neg_pair = 917
0837: pos_pair = 24, neg_pair = 966
0396: pos_pair = 55, neg_pair = 2090
1416: pos_pair = 37, neg_pair = 1289
1547: pos_pair = 28, neg_pair = 962
0500: pos_pair = 33, neg_pair = 432
1045: pos_pair = 18, neg_pair = 192
0441: pos_pair = 28, neg_pair = 1100
1427: pos_pair = 134, neg_pair = 2144
0844: pos_pair = 21, neg_pair = 609
0523: pos_pair = 86, neg_pair = 2399
1350: pos_pair = 40, neg_pair = 740
0023: pos_pair = 53, neg_pair = 1325
1437: pos_pair = 88, neg_pair = 1508
0672: pos_pair = 11, neg_pair = 220
[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 9, 10, 10, 3, 9, 0, 5, 2, 7, 6, 4, 1]
0777: pos_pair = 25, neg_pair = 570
0142: pos_pair = 150, neg_pair = 2625
0947: pos_pair = 49, neg_pair = 854
0329: pos_pair = 13, neg_pair = 312
[0, 1, 2, 3, 4, 5, 6, 6, 7, 8, 8, 9, 10, 10, 11, 12, 12, 4, 0, 1, 7, 5, 11, 3, 2, 9]
0825: pos_pair = 44, neg_pair = 1909
0229: pos_pair = 35, neg_pair = 1343
0313: pos_pair = 43, neg_pair = 992
0427: pos_pair = 52, neg_pair = 1488
1355: pos_pair = 18, neg_pair = 417
0092: pos_pair = 23, neg_pair = 680
1133: pos_pair = 64, neg_pair = 1112
0799: pos_pair = 21, neg_pair = 414
0033: pos_pair = 26, neg_pair = 352
0106: pos_pair = 29, neg_pair = 1456
0884: pos_pair = 24, neg_pair = 537
0182: pos_pair = 33, neg_pair = 787
1459: pos_pair = 16, neg_pair = 480
0442: pos_pair = 57, neg_pair = 2221
0929: pos_pair = 53, neg_pair = 937
0491: pos_pair = 48, neg_pair = 1605
1119: pos_pair = 19, neg_pair = 387
0123: pos_pair = 58, neg_pair = 1217
0024: pos_pair = 78, neg_pair = 2067
0481: pos_pair = 33, neg_pair = 1048
0739: pos_pair = 21, neg_pair = 720
0207: pos_pair = 50, neg_pair = 940
0390: pos_pair = 27, neg_pair = 1404
0392: pos_pair = 318, neg_pair = 1573
1431: pos_pair = 77, neg_pair = 958
0530: pos_pair = 53, neg_pair = 4133
1343: pos_pair = 32, neg_pair = 709
0162: pos_pair = 53, neg_pair = 1717
0791: pos_pair = 34, neg_pair = 869
0508: pos_pair = 96, neg_pair = 1500
0839: pos_pair = 17, neg_pair = 361
0977: pos_pair = 35, neg_pair = 461
1220: pos_pair = 22, neg_pair = 573
0482: pos_pair = 33, neg_pair = 1563
1411: pos_pair = 44, neg_pair = 1282
1289: pos_pair = 48, neg_pair = 1782
0363: pos_pair = 22, neg_pair = 924
0676: pos_pair = 21, neg_pair = 609
0633: pos_pair = 47, neg_pair = 899
0460: pos_pair = 21, neg_pair = 330
1517: pos_pair = 85, neg_pair = 950
1336: pos_pair = 55, neg_pair = 1073
1447: pos_pair = 30, neg_pair = 873
0285: pos_pair = 79, neg_pair = 2336
1087: pos_pair = 55, neg_pair = 2156
0421: pos_pair = 42, neg_pair = 1669
1131: pos_pair = 62, neg_pair = 1954
0332: pos_pair = 17, neg_pair = 544
1561: pos_pair = 27, neg_pair = 1248
0756: pos_pair = 58, neg_pair = 1833
0589: pos_pair = 37, neg_pair = 1238
1143: pos_pair = 66, neg_pair = 1159
1439: pos_pair = 83, neg_pair = 1570
1189: pos_pair = 62, neg_pair = 2018
0733: pos_pair = 133, neg_pair = 2717
0002: pos_pair = 49, neg_pair = 1604
0970: pos_pair = 26, neg_pair = 794
1140: pos_pair = 17, neg_pair = 283
0720: pos_pair = 15, neg_pair = 420
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 8, 7, 5, 1, 12, 14, 0, 10, 4, 13, 11, 3, 6, 9, 2]
0493: pos_pair = 43, neg_pair = 1910
1545: pos_pair = 22, neg_pair = 573
0868: pos_pair = 95, neg_pair = 2461
0638: pos_pair = 36, neg_pair = 2109
0053: pos_pair = 18, neg_pair = 213
0538: pos_pair = 24, neg_pair = 717
1403: pos_pair = 77, neg_pair = 1939
0928: pos_pair = 37, neg_pair = 1341
0902: pos_pair = 58, neg_pair = 2357
1026: pos_pair = 62, neg_pair = 2216
0599: pos_pair = 20, neg_pair = 760
0335: pos_pair = 44, neg_pair = 1441
1420: pos_pair = 32, neg_pair = 1508
0596: pos_pair = 41, neg_pair = 1135
1083: pos_pair = 102, neg_pair = 2244
0788: pos_pair = 64, neg_pair = 2214
0595: pos_pair = 69, neg_pair = 634
0693: pos_pair = 23, neg_pair = 1012
0279: pos_pair = 57, neg_pair = 1713
1179: pos_pair = 57, neg_pair = 1483
1351: pos_pair = 36, neg_pair = 2520
0524: pos_pair = 35, neg_pair = 911
1452: pos_pair = 58, neg_pair = 1895
0305: pos_pair = 26, neg_pair = 1009
0242: pos_pair = 129, neg_pair = 2149
0533: pos_pair = 47, neg_pair = 656
1532: pos_pair = 45, neg_pair = 1180
1264: pos_pair = 25, neg_pair = 605
0567: pos_pair = 144, neg_pair = 2631
0447: pos_pair = 28, neg_pair = 918
0422: pos_pair = 45, neg_pair = 1230
0065: pos_pair = 18, neg_pair = 612
0857: pos_pair = 32, neg_pair = 1294
1463: pos_pair = 43, neg_pair = 1668
0344: pos_pair = 16, neg_pair = 390
1295: pos_pair = 51, neg_pair = 1545
0745: pos_pair = 38, neg_pair = 1502
0846: pos_pair = 29, neg_pair = 601
1082: pos_pair = 43, neg_pair = 587
0234: pos_pair = 78, neg_pair = 2697
1113: pos_pair = 50, neg_pair = 1381
0685: pos_pair = 32, neg_pair = 1144
1065: pos_pair = 45, neg_pair = 516
0131: pos_pair = 78, neg_pair = 2200
0331: pos_pair = 43, neg_pair = 1232
0267: pos_pair = 74, neg_pair = 2341
1031: pos_pair = 23, neg_pair = 572
0019: pos_pair = 17, neg_pair = 361
0134: pos_pair = 48, neg_pair = 898
0762: pos_pair = 46, neg_pair = 3357
0350: pos_pair = 99, neg_pair = 2247
1374: pos_pair = 20, neg_pair = 760
0918: pos_pair = 20, neg_pair = 760
1478: pos_pair = 40, neg_pair = 1041
0430: pos_pair = 21, neg_pair = 720
1425: pos_pair = 214, neg_pair = 1382
0199: pos_pair = 61, neg_pair = 1479
1057: pos_pair = 129, neg_pair = 2427
1047: pos_pair = 21, neg_pair = 720
0985: pos_pair = 49, neg_pair = 986
0577: pos_pair = 25, neg_pair = 795
0734: pos_pair = 25, neg_pair = 795
0945: pos_pair = 35, neg_pair = 1046
0292: pos_pair = 27, neg_pair = 1248
1362: pos_pair = 20, neg_pair = 760
1325: pos_pair = 32, neg_pair = 914
1542: pos_pair = 17, neg_pair = 448
0526: pos_pair = 92, neg_pair = 811
1472: pos_pair = 51, neg_pair = 1489
